Datetime,Load,CR,WR,NER,ER,NR
10/30/2023 0:00,6340.562899,2980.064563,1268.11258,951.0844348,634.0562899,507.2450319
10/30/2023 1:00,6010.434678,2824.904299,1202.086936,901.5652017,601.0434678,480.8347742
10/30/2023 2:00,5828.663641,2739.471911,1165.732728,874.2995461,582.8663641,466.2930913
10/30/2023 3:00,5747.481493,2701.316302,1149.496299,862.122224,574.7481493,459.7985195
10/30/2023 4:00,5652.181029,2656.525083,1130.436206,847.8271543,565.2181029,452.1744823
10/30/2023 5:00,5599.335405,2631.687641,1119.867081,839.9003108,559.9335405,447.9468324
10/30/2023 6:00,5722.221346,2689.444032,1144.444269,858.3332018,572.2221346,457.7777076
10/30/2023 7:00,6286.016242,2954.427634,1257.203248,942.9024363,628.6016242,502.8812994
10/30/2023 8:00,6513.548314,3061.367707,1302.709663,977.032247,651.3548314,521.0838651
10/30/2023 9:00,7007.465838,3293.508944,1401.493168,1051.119876,700.7465838,560.597267
10/30/2023 10:00,7288.038982,3425.378322,1457.607796,1093.205847,728.8038982,583.0431186
10/30/2023 11:00,7418.925837,3486.895143,1483.785167,1112.838875,741.8925837,593.5140669
10/30/2023 12:00,7460.053525,3506.225157,1492.010705,1119.008029,746.0053525,596.804282
10/30/2023 13:00,7378.724654,3468.000588,1475.744931,1106.808698,737.8724654,590.2979724
10/30/2023 14:00,7471.806317,3511.748969,1494.361263,1120.770948,747.1806317,597.7445054
10/30/2023 15:00,7482.686377,3516.862597,1496.537275,1122.402957,748.2686377,598.6149102
10/30/2023 16:00,7486.33385,3518.576909,1497.26677,1122.950077,748.633385,598.906708
10/30/2023 17:00,7502.835866,3526.332857,1500.567173,1125.42538,750.2835866,600.2268693
10/30/2023 18:00,7386.399027,3471.607543,1477.279805,1107.959854,738.6399027,590.9119222
10/30/2023 19:00,7178.817856,3374.044392,1435.763571,1076.822678,717.8817856,574.3054285
10/30/2023 20:00,7189.809491,3379.210461,1437.961898,1078.471424,718.9809491,575.1847593
10/30/2023 21:00,7057.028935,3316.803599,1411.405787,1058.55434,705.7028935,564.5623148
10/30/2023 22:00,6926.789993,3255.591297,1385.357999,1039.018499,692.6789993,554.1431994
10/30/2023 23:00,6630.498536,3116.334312,1326.099707,994.5747804,663.0498536,530.4398829
10/31/2023 0:00,6375.279532,2996.38138,1275.055906,956.2919298,637.5279532,510.0223625
10/31/2023 1:00,6061.685046,2848.991972,1212.337009,909.2527569,606.1685046,484.9348037
10/31/2023 2:00,5880.366255,2763.77214,1176.073251,882.0549382,588.0366255,470.4293004
10/31/2023 3:00,5797.038838,2724.608254,1159.407768,869.5558256,579.7038838,463.763107
10/31/2023 4:00,5722.870923,2689.749334,1144.574185,858.4306385,572.2870923,457.8296739
10/31/2023 5:00,5689.080454,2673.867813,1137.816091,853.3620681,568.9080454,455.1264363
10/31/2023 6:00,5782.849827,2717.939419,1156.569965,867.427474,578.2849827,462.6279862
10/31/2023 7:00,6339.28815,2979.465431,1267.85763,950.8932226,633.928815,507.143052
10/31/2023 8:00,6527.492093,3067.921284,1305.498419,979.1238139,652.7492093,522.1993674
10/31/2023 9:00,6995.68647,3287.972641,1399.137294,1049.35297,699.568647,559.6549176
10/31/2023 10:00,7240.244318,3402.91483,1448.048864,1086.036648,724.0244318,579.2195455
10/31/2023 11:00,7402.491178,3479.170854,1480.498236,1110.373677,740.2491178,592.1992942
10/31/2023 12:00,7475.065594,3513.280829,1495.013119,1121.259839,747.5065594,598.0052475
10/31/2023 13:00,7403.14614,3479.478686,1480.629228,1110.471921,740.314614,592.2516912
10/31/2023 14:00,7451.575951,3502.240697,1490.31519,1117.736393,745.1575951,596.1260761
10/31/2023 15:00,7486.854282,3518.821513,1497.370856,1123.028142,748.6854282,598.9483426
10/31/2023 16:00,7391.335992,3473.927916,1478.267198,1108.700399,739.1335992,591.3068794
10/31/2023 17:00,7436.377414,3495.097385,1487.275483,1115.456612,743.6377414,594.9101932
10/31/2023 18:00,7395.86336,3476.055779,1479.172672,1109.379504,739.586336,591.6690688
10/31/2023 19:00,7208.507069,3387.998322,1441.701414,1081.27606,720.8507069,576.6805655
10/31/2023 20:00,7220.077346,3393.436353,1444.015469,1083.011602,722.0077346,577.6061877
10/31/2023 21:00,7059.072319,3317.76399,1411.814464,1058.860848,705.9072319,564.7257856
10/31/2023 22:00,6941.080424,3262.307799,1388.216085,1041.162064,694.1080424,555.2864339
10/31/2023 23:00,6661.858602,3131.073543,1332.37172,999.2787903,666.1858602,532.9486882
11/1/2023 0:00,6363.416109,2990.805571,1272.683222,954.5124163,636.3416109,509.0732887
11/1/2023 1:00,6087.798445,2861.265269,1217.559689,913.1697667,608.7798445,487.0238756
11/1/2023 2:00,5889.378266,2768.007785,1177.875653,883.4067399,588.9378266,471.1502613
11/1/2023 3:00,5816.485179,2733.748034,1163.297036,872.4727769,581.6485179,465.3188143
11/1/2023 4:00,5733.555709,2694.771183,1146.711142,860.0333563,573.3555709,458.6844567
11/1/2023 5:00,5667.376968,2663.667175,1133.475394,850.1065452,566.7376968,453.3901575
11/1/2023 6:00,5799.67621,2725.847819,1159.935242,869.9514315,579.967621,463.9740968
11/1/2023 7:00,6357.566039,2988.056038,1271.513208,953.6349059,635.7566039,508.6052831
11/1/2023 8:00,6531.078264,3069.606784,1306.215653,979.6617396,653.1078264,522.4862611
11/1/2023 9:00,7010.345067,3294.862182,1402.069013,1051.55176,701.0345067,560.8276054
11/1/2023 10:00,7273.710882,3418.644114,1454.742176,1091.056632,727.3710882,581.8968705
11/1/2023 11:00,7414.246116,3484.695674,1482.849223,1112.136917,741.4246116,593.1396892
11/1/2023 12:00,7448.278458,3500.690875,1489.655692,1117.241769,744.8278458,595.8622767
11/1/2023 13:00,7396.296314,3476.259268,1479.259263,1109.444447,739.6296314,591.7037051
11/1/2023 14:00,7475.032282,3513.265173,1495.006456,1121.254842,747.5032282,598.0025826
11/1/2023 15:00,7559.733525,3553.074757,1511.946705,1133.960029,755.9733525,604.778682
11/1/2023 16:00,7488.082607,3519.398825,1497.616521,1123.212391,748.8082607,599.0466086
11/1/2023 17:00,7450.241572,3501.613539,1490.048314,1117.536236,745.0241572,596.0193257
11/1/2023 18:00,7312.059014,3436.667737,1462.411803,1096.808852,731.2059014,584.9647211
11/1/2023 19:00,7144.508956,3357.919209,1428.901791,1071.676343,714.4508956,571.5607165
11/1/2023 20:00,7136.104293,3353.969018,1427.220859,1070.415644,713.6104293,570.8883434
11/1/2023 21:00,7108.952775,3341.207804,1421.790555,1066.342916,710.8952775,568.716222
11/1/2023 22:00,6967.126159,3274.549295,1393.425232,1045.068924,696.7126159,557.3700927
11/1/2023 23:00,6662.831609,3131.530856,1332.566322,999.4247414,666.2831609,533.0265288
11/2/2023 0:00,6471.582004,3041.643542,1294.316401,970.7373007,647.1582004,517.7265604
11/2/2023 1:00,6074.31348,2854.927335,1214.862696,911.147022,607.431348,485.9450784
11/2/2023 2:00,5856.477088,2752.544231,1171.295418,878.4715631,585.6477088,468.518167
11/2/2023 3:00,5775.550075,2714.508535,1155.110015,866.3325112,577.5550075,462.044006
11/2/2023 4:00,5690.565021,2674.56556,1138.113004,853.5847531,569.0565021,455.2452016
11/2/2023 5:00,5669.43115,2664.63264,1133.88623,850.4146725,566.943115,453.554492
11/2/2023 6:00,5770.750025,2712.252512,1154.150005,865.6125038,577.0750025,461.660002
11/2/2023 7:00,6121.912997,2877.299109,1224.382599,918.2869495,612.1912997,489.7530397
11/2/2023 8:00,6487.172049,3048.970863,1297.43441,973.0758074,648.7172049,518.9737639
11/2/2023 9:00,6963.278369,3272.740833,1392.655674,1044.491755,696.3278369,557.0622695
11/2/2023 10:00,7222.732819,3394.684425,1444.546564,1083.409923,722.2732819,577.8186255
11/2/2023 11:00,7378.708367,3467.992932,1475.741673,1106.806255,737.8708367,590.2966694
11/2/2023 12:00,7397.357974,3476.758248,1479.471595,1109.603696,739.7357974,591.7886379
11/2/2023 13:00,7366.909459,3462.447446,1473.381892,1105.036419,736.6909459,589.3527567
11/2/2023 14:00,7434.817034,3494.364006,1486.963407,1115.222555,743.4817034,594.7853627
11/2/2023 15:00,7489.875159,3520.241325,1497.975032,1123.481274,748.9875159,599.1900127
11/2/2023 16:00,7481.766111,3516.430072,1496.353222,1122.264917,748.1766111,598.5412889
11/2/2023 17:00,7462.711324,3507.474322,1492.542265,1119.406699,746.2711324,597.0169059
11/2/2023 18:00,7366.605224,3462.304455,1473.321045,1104.990784,736.6605224,589.3284179
11/2/2023 19:00,7205.610232,3386.636809,1441.122046,1080.841535,720.5610232,576.4488185
11/2/2023 20:00,7203.393687,3385.595033,1440.678737,1080.509053,720.3393687,576.271495
11/2/2023 21:00,7173.015617,3371.31734,1434.603123,1075.952342,717.3015617,573.8412493
11/2/2023 22:00,7057.367035,3316.962507,1411.473407,1058.605055,705.7367035,564.5893628
11/2/2023 23:00,6768.512341,3181.2008,1353.702468,1015.276851,676.8512341,541.4809873
11/3/2023 0:00,6624.785283,3113.649083,1324.957057,993.7177925,662.4785283,529.9828227
11/3/2023 1:00,6171.099708,2900.416863,1234.219942,925.6649562,617.1099708,493.6879766
11/3/2023 2:00,5957.534123,2800.041038,1191.506825,893.6301185,595.7534123,476.6027299
11/3/2023 3:00,5866.615464,2757.309268,1173.323093,879.9923196,586.6615464,469.3292371
11/3/2023 4:00,5780.619853,2716.891331,1156.123971,867.092978,578.0619853,462.4495882
11/3/2023 5:00,5722.846378,2689.737798,1144.569276,858.4269567,572.2846378,457.8277102
11/3/2023 6:00,5828.143215,2739.227311,1165.628643,874.2214823,582.8143215,466.2514572
11/3/2023 7:00,6156.211611,2893.419457,1231.242322,923.4317416,615.6211611,492.4969289
11/3/2023 8:00,6499.857889,3054.933208,1299.971578,974.9786834,649.9857889,519.9886311
11/3/2023 9:00,6973.872381,3277.720019,1394.774476,1046.080857,697.3872381,557.9097905
11/3/2023 10:00,7244.735368,3405.025623,1448.947074,1086.710305,724.4735368,579.5788294
11/3/2023 11:00,7428.508688,3491.399083,1485.701738,1114.276303,742.8508688,594.280695
11/3/2023 12:00,7472.216089,3511.941562,1494.443218,1120.832413,747.2216089,597.7772871
11/3/2023 13:00,7427.283019,3490.823019,1485.456604,1114.092453,742.7283019,594.1826415
11/3/2023 14:00,7418.047773,3486.482453,1483.609555,1112.707166,741.8047773,593.4438219
11/3/2023 15:00,7493.922013,3522.143346,1498.784403,1124.088302,749.3922013,599.513761
11/3/2023 16:00,7506.426386,3528.020401,1501.285277,1125.963958,750.6426386,600.5141109
11/3/2023 17:00,7503.753406,3526.764101,1500.750681,1125.563011,750.3753406,600.3002724
11/3/2023 18:00,7395.519448,3475.894141,1479.10389,1109.327917,739.5519448,591.6415559
11/3/2023 19:00,7247.013273,3406.096238,1449.402655,1087.051991,724.7013273,579.7610618
11/3/2023 20:00,7244.824807,3405.067659,1448.964961,1086.723721,724.4824807,579.5859846
11/3/2023 21:00,7158.288989,3364.395825,1431.657798,1073.743348,715.8288989,572.6631191
11/3/2023 22:00,7065.46197,3320.767126,1413.092394,1059.819296,706.546197,565.2369576
11/3/2023 23:00,6848.85144,3218.960177,1369.770288,1027.327716,684.885144,547.9081152
11/4/2023 0:00,6407.890823,3011.708687,1281.578165,961.1836234,640.7890823,512.6312658
11/4/2023 1:00,6363.005745,2990.6127,1272.601149,954.4508617,636.3005745,509.0404596
11/4/2023 2:00,6115.225791,2874.156122,1223.045158,917.2838687,611.5225791,489.2180633
