Link,bus0,bus1,p_nom,type,carrier,efficiency,build_year,lifetime,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_set,p_min_pu,p_max_pu,capital_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt
TYNDP2020_1,71,161,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
TYNDP2020_2,71,51,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
TYNDP2020_4,53,174,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
TYNDP2020_5,71,125,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
TYNDP2020_10,139,170,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
TYNDP2020_22,27,113,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
TYNDP2020_23,163,139,2000.0,,AC,1.0,0,inf,0.0,False,0.0,inf,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,1.0,1.0,0.0
