Load,bus
demand_490,6
demand_491,191
demand_492,135
demand_493,152
demand_494,135
demand_495,104
demand_50,91
demand_51,131
demand_52_220kV,10
demand_53,66
demand_54,153
demand_55,153
demand_56_220kV,42
demand_57,10
demand_58,10
demand_59,169
demand_5_220kV,144
demand_6,77
demand_60,14
demand_61_220kV,82
demand_62,169
demand_63,146
demand_64,64
demand_66,172
demand_67,169
demand_68_220kV,199
demand_69_220kV,98
demand_7,77
demand_70,1
demand_71,30
demand_72,158
demand_73,132
demand_74_220kV,67
demand_75,150
demand_76,47
demand_77,167
demand_78_220kV,41
demand_79,17
demand_8,145
demand_80,17
demand_81,107
demand_82,112
demand_83,110
demand_84,110
demand_85,115
demand_86_220kV,18
demand_87_220kV,40
demand_88,19
demand_89,159
demand_9,145
demand_90,111
demand_91,18
demand_92,18
demand_93,185
demand_94_220kV,8
demand_95_220kV,133
demand_96_220kV,18
demand_98,13
demand_99_220kV,114
